oid,pelanggan,resto,menu,harga,prioritas,t_masuk_detik,t_selesai_detik,status
O-098202,Chelsea Hidayat,kantin-asrama,kentang-goreng,14000,2,40378,41293,DONE
O-098203,Kajen Kusmawati,kantin-pusat,soto-ayam,14000,2,66657,68197,DONE
O-098204,Timbul Jailani,kantin-pusat,mie-ayam,13000,1,42538,44388,DONE
O-098205,Ayu Handayani,kedai-kopi,bubur-ayam,11000,3,45984,47689,DONE
O-098206,Tgk. Hari Gunarto,kantin-pusat,nasi-campur,20000,2,59559,61294,DONE
O-098207,Sutan Liman Oktaviani,kedai-kopi,teh-tarik,9000,2,25723,27013,DONE
O-098208,Galih Suryatmi,kantin-asrama,nasi-campur,20000,1,73861,74566,DONE
O-098209,Ratih Winarsih,kantin-pusat,sate-ayam,24000,2,64642,,CANCEL
O-098210,Bahuwirya Wastuti,kantin-pusat,gado-gado,15000,3,42030,44135,DONE
O-098211,Tgk. Eka Wibowo,bakso-pak-yon,iga-penyet,27000,2,42448,42858,DONE
O-098212,Kawaya Hutapea,kantin-asrama,burger-kampus,21000,3,64020,64305,DONE
O-098213,Unjani Hidayanto,kantin-asrama,roti-bakar,12000,1,47934,48624,DONE
O-098214,"Drs. Vera Prasetyo, S.IP",bakso-pak-yon,roti-bakar,12000,3,53550,55885,DONE
O-098215,"Lembah Pranowo, S.Pt",kafe-teknik,soto-ayam,14000,2,42276,43116,DONE
O-098216,Oni Mandasari,kantin-pusat,juice-alpukat,17000,3,54194,54779,DONE
O-098217,Sutan Irwan Kurniawan,warung-bu-ida,juice-alpukat,17000,2,48085,49230,DONE
O-098218,"H. Maman Santoso, S.Farm",kantin-pusat,bubur-ayam,11000,3,73626,74016,DONE
O-098219,"Hj. Jane Kurniawan, M.Ak",kedai-kopi,nasi-campur,20000,3,42348,,CANCEL
O-098220,"Kajen Mansur, S.IP",warung-bu-ida,sate-ayam,24000,2,29108,30678,DONE
O-098221,Ana Palastri,bakso-pak-yon,bakso,16000,1,62264,62469,DONE
O-098222,Dr. Harsana Agustina,kantin-pusat,gorengan,6000,2,37797,,CANCEL
O-098223,"Dr. Mustofa Permadi, M.Farm",bakso-pak-yon,air-mineral,4000,3,57039,57434,DONE
O-098224,Rangga Puspasari,kantin-asrama,sate-ayam,24000,2,77175,77620,DONE
O-098225,Nalar Maryadi,kantin-pusat,roti-bakar,12000,2,57023,58358,DONE
O-098226,"Ilsa Mandasari, S.Farm",kedai-kopi,bubur-ayam,11000,3,22651,23566,DONE
O-098227,Ika Budiyanto,kafe-teknik,mie-goreng,13000,2,31958,33518,DONE
O-098228,"Dt. Mulyono Namaga, S.Sos",kafe-teknik,soto-ayam,14000,1,27861,29126,DONE
O-098229,Daliman Wahyudin,warung-bu-ida,roti-bakar,12000,2,50039,51279,DONE
O-098230,Umi Saragih,kedai-kopi,sate-ayam,24000,3,62570,64235,DONE
O-098231,Calista Suryono,kantin-pusat,teh-tarik,9000,3,24824,,CANCEL
O-098232,Yulia Nurdiyanti,bakso-pak-yon,pecel-lele,18000,2,69402,70957,DONE
O-098233,Tgk. Amelia Nugroho,warung-bu-ida,air-mineral,4000,2,47369,48274,DONE
O-098234,Rudi Pradana,kantin-pusat,gado-gado,15000,3,48660,49980,DONE
O-098235,Radika Pangestu,kantin-pusat,gorengan,6000,2,49885,51350,DONE
O-098236,Queen Budiman,warung-bu-ida,bubur-ayam,11000,3,51603,52218,DONE
O-098237,"Queen Pradipta, S.H.",bakso-pak-yon,nasi-padang,25000,2,45828,47278,DONE
O-098238,Suci Kuswoyo,warung-bu-ida,nasi-goreng,15000,3,41261,41506,DONE
O-098239,Dewi Uwais,kantin-pusat,nasi-padang,25000,1,77269,78554,DONE
O-098240,dr. Ajiman Laksita,kantin-asrama,ayam-geprek,19000,2,40685,40995,DONE
O-098241,"Ir. Laswi Sudiati, S.Psi",kantin-asrama,nasi-goreng,15000,2,44871,45841,DONE
O-098242,Vanesa Prastuti,kafe-teknik,ayam-bakar,22000,2,50144,50904,DONE
O-098243,Uli Tamba,warung-bu-ida,burger-kampus,21000,3,63459,63894,DONE
O-098244,"Sutan Umaya Wibisono, S.Pd",bakso-pak-yon,teh-tarik,9000,2,67917,68892,DONE
O-098245,"Elon Hariyah, S.E.",kantin-asrama,bubur-ayam,11000,3,71069,73464,DONE
O-098246,"Bala Hakim, S.T.",kantin-asrama,ayam-geprek,19000,2,50486,,CANCEL
O-098247,KH. Cayadi Rajasa,kantin-pusat,es-teh,5000,2,43082,44202,DONE
O-098248,"Darimin Kuswandari, S.IP",kedai-kopi,soto-ayam,14000,3,49618,50928,DONE
O-098249,Ir. Argono Tamba,kafe-teknik,mie-ayam,13000,2,63120,63950,DONE
O-098250,Rahmi Saragih,warung-bu-ida,burger-kampus,21000,2,71539,73574,DONE
O-098251,Prabawa Ramadan,warung-bu-ida,nasi-padang,25000,2,65305,67050,DONE
O-098252,"Ratna Wacana, S.E.",kedai-kopi,nasi-campur,20000,2,64799,,CANCEL
O-098253,Cut Paramita Hutasoit,kafe-teknik,juice-alpukat,17000,3,39661,,ANTRE
O-098254,"Ayu Oktaviani, S.Sos",kafe-teknik,kopi-susu,18000,3,23391,23816,DONE
O-098255,dr. Mustofa Halim,warung-bu-ida,es-campur,12000,3,72601,,ANTRE
O-098256,Rafid Narpati,bakso-pak-yon,es-teh,5000,2,41886,42736,DONE
O-098257,Devi Yuniar,kantin-pusat,air-mineral,4000,2,46496,48831,DONE
O-098258,Taufik Yolanda,bakso-pak-yon,ayam-bakar,22000,1,44002,44227,DONE
O-098259,Puti Juli Maryati,kantin-asrama,nasi-campur,20000,3,47150,47560,DONE
O-098260,Daniswara Prakasa,kafe-teknik,juice-alpukat,17000,2,62923,63978,DONE
O-098261,"Drs. Lantar Widodo, S.IP",kantin-asrama,burger-kampus,21000,1,65124,66589,DONE
O-098262,Siska Nuraini,kantin-asrama,bubur-ayam,11000,2,43400,45325,DONE
O-098263,"Prayoga Pratama, S.IP",warung-bu-ida,teh-tarik,9000,2,67230,68010,DONE
O-098264,Jelita Uwais,kantin-asrama,burger-kampus,21000,2,54779,54999,DONE
O-098265,"Hj. Jane Marbun, S.IP",warung-bu-ida,ayam-geprek,19000,2,44177,46432,DONE
O-098266,Faizah Mandala,kedai-kopi,ayam-bakar,22000,3,41653,42078,DONE
O-098267,"Vivi Kuswoyo, S.Farm",warung-bu-ida,es-campur,12000,2,66004,67424,DONE
O-098268,Nugraha Firmansyah,kafe-teknik,mie-ayam,13000,2,50262,51202,DONE
O-098269,Lanang Winarno,kantin-pusat,nasi-padang,25000,3,49763,50653,DONE
O-098270,"Jamalia Padmasari, M.Farm",kantin-pusat,kentang-goreng,14000,1,45701,,CANCEL
O-098271,Carla Riyanti,kafe-teknik,roti-bakar,12000,2,43476,44081,DONE
O-098272,Tedi Usamah,kantin-pusat,ayam-geprek,19000,1,23957,24917,DONE
O-098273,Edward Januar,kantin-asrama,nasi-goreng,15000,2,63705,64430,DONE
O-098274,Jelita Winarsih,kedai-kopi,es-campur,12000,2,26601,28061,DONE
O-098275,Danang Usamah,kedai-kopi,soto-ayam,14000,3,23395,24025,DONE
O-098276,Edison Suartini,kantin-pusat,ayam-bakar,22000,2,34979,37114,DONE
O-098277,"Puti Amelia Rahayu, M.Ak",warung-bu-ida,bakso,16000,2,62780,63330,DONE
O-098278,Eko Sitompul,bakso-pak-yon,es-campur,12000,2,54219,54904,DONE
O-098279,"Hardana Najmudin, S.I.Kom",bakso-pak-yon,gado-gado,15000,2,27023,,ANTRE
O-098280,"Kasim Hidayanto, M.Pd",kafe-teknik,sate-ayam,24000,2,53750,54830,DONE
O-098281,Cemplunk Dongoran,warung-bu-ida,teh-tarik,9000,3,65692,66442,DONE
O-098282,Drs. Kiandra Damanik,warung-bu-ida,nasi-goreng,15000,2,39529,,CANCEL
O-098283,Cinthia Sirait,kedai-kopi,kentang-goreng,14000,2,63862,,ANTRE
O-098284,Vega Lailasari,bakso-pak-yon,pecel-lele,18000,3,22804,23384,DONE
O-098285,"Kasiyah Pudjiastuti, M.Ak",kantin-pusat,soto-ayam,14000,2,22052,24247,DONE
O-098286,Jamal Marpaung,kantin-pusat,nasi-padang,25000,3,70937,72952,DONE
O-098287,Nalar Wahyuni,warung-bu-ida,burger-kampus,21000,3,60876,63271,DONE
O-098288,Ellis Saptono,warung-bu-ida,es-teh,5000,1,48822,50367,DONE
O-098289,"Luwes Handayani, S.Farm",warung-bu-ida,kopi-susu,18000,3,68265,69050,DONE
O-098290,Gina Simbolon,bakso-pak-yon,es-campur,12000,2,54519,55854,DONE
O-098291,Prayoga Pradana,bakso-pak-yon,nasi-goreng,15000,2,45605,47705,DONE
O-098292,"Dt. Kacung Saragih, S.IP",kantin-pusat,roti-bakar,12000,1,62614,,CANCEL
O-098293,Farhunnisa Laksmiwati,warung-bu-ida,nasi-campur,20000,2,61470,63040,DONE
O-098294,Sutan Kamidin Mustofa,kedai-kopi,mie-goreng,13000,3,44615,45920,DONE
O-098295,"Yusuf Nababan, M.Farm",warung-bu-ida,es-campur,12000,2,32177,33187,DONE
O-098296,Ibun Astuti,kantin-pusat,roti-bakar,12000,3,44983,,CANCEL
O-098297,Hartaka Habibi,bakso-pak-yon,ayam-bakar,22000,2,69255,70025,DONE
O-098298,"R.A. Fitriani Permadi, S.T.",kantin-asrama,es-campur,12000,2,44141,46066,DONE
O-098299,Ifa Mustofa,bakso-pak-yon,ayam-bakar,22000,2,70946,71496,DONE
O-098300,Umi Wijayanti,kafe-teknik,mie-goreng,13000,2,49588,49858,DONE
O-098301,Bakiman Hidayanto,kafe-teknik,nasi-goreng,15000,2,64734,,ANTRE
O-098302,"Maimunah Permadi, S.Sos",kedai-kopi,es-campur,12000,2,75424,76329,DONE
O-098303,Ajimin Laksmiwati,kedai-kopi,kopi-susu,18000,2,62281,,CANCEL
O-098304,Nrima Saragih,kafe-teknik,teh-tarik,9000,3,68924,69449,DONE
O-098305,Dr. Gina Winarsih,kantin-asrama,mie-goreng,13000,2,40752,41312,DONE
O-098306,Jati Laksmiwati,bakso-pak-yon,kopi-susu,18000,3,23543,,ANTRE
O-098307,Ganep Situmorang,bakso-pak-yon,sate-ayam,24000,3,48846,49226,DONE
O-098308,Keisha Uwais,kantin-asrama,nasi-padang,25000,2,71672,72662,DONE
O-098309,Eva Wulandari,bakso-pak-yon,gado-gado,15000,3,77925,78395,DONE
O-098310,Faizah Widiastuti,bakso-pak-yon,kopi-susu,18000,2,56815,57975,DONE
O-098311,Nabila Yuliarti,kantin-asrama,gado-gado,15000,2,45323,,ANTRE
O-098312,Harsana Mandasari,kafe-teknik,kopi-susu,18000,3,25626,27356,DONE
O-098313,Kamaria Saputra,kedai-kopi,nasi-goreng,15000,2,53560,55895,DONE
O-098314,Marwata Ardianto,kafe-teknik,bakso,16000,3,72400,73905,DONE
O-098315,"drg. Ilsa Pratama, M.Farm",kantin-pusat,iga-penyet,27000,3,69107,69627,DONE
O-098316,Karma Kusmawati,bakso-pak-yon,bakso,16000,2,49202,49582,DONE
O-098317,"Cemeti Saputra, S.Pt",kedai-kopi,mie-goreng,13000,2,69811,70016,DONE
O-098318,"Eja Hasanah, S.Ked",kantin-pusat,es-teh,5000,2,71015,72415,DONE
O-098319,Zamira Saptono,bakso-pak-yon,nasi-goreng,15000,3,65263,66208,DONE
O-098320,Puti Tampubolon,kedai-kopi,nasi-goreng,15000,2,43950,46155,DONE
O-098321,"Oskar Thamrin, M.M.",kedai-kopi,ayam-geprek,19000,2,51774,,CANCEL
O-098322,Tomi Hidayat,bakso-pak-yon,nasi-padang,25000,2,70146,70356,DONE
O-098323,"Paiman Widiastuti, S.Pd",warung-bu-ida,nasi-goreng,15000,2,67910,68915,DONE
O-098324,"Drs. Ira Saptono, S.Pd",kantin-pusat,nasi-campur,20000,3,60079,61764,DONE
O-098325,Ajimat Puspasari,kedai-kopi,gorengan,6000,3,41377,43142,DONE
O-098326,Cut Nadine Handayani,bakso-pak-yon,bubur-ayam,11000,2,70934,72214,DONE
O-098327,"Ellis Haryanti, M.Farm",kantin-asrama,bubur-ayam,11000,2,69491,70726,DONE
O-098328,"Tgk. Muhammad Hassanah, S.H.",bakso-pak-yon,teh-tarik,9000,2,63048,65133,DONE
O-098329,"R.A. Putri Padmasari, S.Sos",bakso-pak-yon,kentang-goreng,14000,3,41338,41858,DONE
O-098330,Ajimin Budiyanto,bakso-pak-yon,burger-kampus,21000,3,29269,30919,DONE
O-098331,Lutfan Setiawan,warung-bu-ida,juice-alpukat,17000,2,71966,73031,DONE
O-098332,Oskar Nasyiah,kafe-teknik,gado-gado,15000,2,42059,42314,DONE
O-098333,"R. Cawuk Pratiwi, S.T.",bakso-pak-yon,kentang-goreng,14000,3,36753,38008,DONE
O-098334,Dian Halim,bakso-pak-yon,gado-gado,15000,2,29340,30575,DONE
O-098335,Reksa Salahudin,kantin-pusat,nasi-campur,20000,2,37974,40024,DONE
O-098336,Kiandra Usada,bakso-pak-yon,ayam-bakar,22000,3,76062,76702,DONE
O-098337,Ihsan Budiman,bakso-pak-yon,nasi-goreng,15000,3,57029,59424,DONE
O-098338,Septi Napitupulu,kantin-pusat,bubur-ayam,11000,2,45208,46913,DONE
O-098339,Joko Sihombing,kedai-kopi,es-teh,5000,2,57097,58052,DONE
O-098340,Endah Hassanah,kedai-kopi,iga-penyet,27000,2,49688,51223,DONE
O-098341,Oni Hutagalung,warung-bu-ida,ayam-geprek,19000,3,62381,63236,DONE
O-098342,"Makuta Usamah, S.Kom",kafe-teknik,ayam-geprek,19000,2,30129,,CANCEL
O-098343,"Hj. Usyi Dongoran, S.Gz",kedai-kopi,iga-penyet,27000,2,47486,49686,DONE
O-098344,"Unjani Narpati, M.M.",kedai-kopi,soto-ayam,14000,3,45826,48106,DONE
O-098345,"Bala Hakim, S.T.",kantin-asrama,es-campur,12000,3,57698,59288,DONE
O-098346,Nasab Melani,bakso-pak-yon,juice-alpukat,17000,2,69620,71995,DONE
O-098347,Gamblang Mayasari,kafe-teknik,air-mineral,4000,3,36426,38506,DONE
O-098348,"Tgk. Zalindra Yuniar, M.Kom.",bakso-pak-yon,kopi-susu,18000,2,46336,47551,DONE
O-098349,Juli Winarsih,warung-bu-ida,soto-ayam,14000,2,75149,75799,DONE
O-098350,"Diana Gunawan, M.Farm",kafe-teknik,gorengan,6000,3,44121,45796,DONE
O-098351,Mala Dabukke,bakso-pak-yon,gorengan,6000,2,46861,48966,DONE
O-098352,Alika Simbolon,warung-bu-ida,kentang-goreng,14000,2,63337,65652,DONE
O-098353,Lidya Winarno,kafe-teknik,teh-tarik,9000,2,41605,,CANCEL
O-098354,Laila Sitompul,warung-bu-ida,juice-alpukat,17000,2,42024,,ANTRE
O-098355,Nasab Prabowo,kedai-kopi,kentang-goreng,14000,2,61841,,ANTRE
O-098356,Intan Tampubolon,warung-bu-ida,mie-ayam,13000,2,25444,25929,DONE
O-098357,Cindy Utami,bakso-pak-yon,gorengan,6000,1,28129,29489,DONE
O-098358,"Oman Mahendra, S.Farm",kafe-teknik,roti-bakar,12000,2,56778,58378,DONE
O-098359,Gamanto Latupono,kantin-asrama,nasi-padang,25000,3,29461,30701,DONE
O-098360,Nilam Hidayat,kantin-asrama,pecel-lele,18000,1,78324,79569,DONE
O-098361,Jindra Hartati,bakso-pak-yon,kentang-goreng,14000,3,56953,58058,DONE
O-098362,R. Hardi Astuti,bakso-pak-yon,nasi-goreng,15000,3,70324,,CANCEL
O-098363,Siska Wibowo,kantin-pusat,nasi-campur,20000,2,78189,80314,DONE
O-098364,"Dr. Mustofa Permadi, M.Farm",kafe-teknik,air-mineral,4000,2,47245,48285,DONE
O-098365,"dr. Tedi Simanjuntak, S.Psi",kafe-teknik,teh-tarik,9000,2,40995,,CANCEL
O-098366,Cut Farah Novitasari,kantin-asrama,juice-alpukat,17000,3,42659,44374,DONE
O-098367,Ir. Utama Sihombing,kafe-teknik,ayam-geprek,19000,1,68302,,CANCEL
O-098368,dr. Okto Usada,kedai-kopi,mie-goreng,13000,2,45249,47269,DONE
O-098369,Warji Wulandari,bakso-pak-yon,kentang-goreng,14000,1,67908,,ANTRE
O-098370,Rama Widiastuti,warung-bu-ida,nasi-campur,20000,2,50285,51510,DONE
O-098371,Tasdik Hastuti,bakso-pak-yon,roti-bakar,12000,3,39711,40161,DONE
O-098372,Salwa Padmasari,kafe-teknik,nasi-campur,20000,2,40384,,CANCEL
O-098373,"Dr. Nurul Sudiati, S.T.",kantin-pusat,mie-goreng,13000,2,42463,44758,DONE
O-098374,Kasiyah Hakim,kantin-pusat,juice-alpukat,17000,2,34276,34501,DONE
O-098375,"Puspa Purnawati, S.Pd",kantin-asrama,nasi-padang,25000,3,45936,46236,DONE
O-098376,"Drs. Vera Prasetyo, S.IP",kedai-kopi,es-campur,12000,3,44978,45953,DONE
O-098377,Emong Budiman,kantin-pusat,gorengan,6000,2,72915,74120,DONE
O-098378,Vanesa Prastuti,kantin-pusat,gorengan,6000,3,77385,79255,DONE
O-098379,Galur Hastuti,warung-bu-ida,es-campur,12000,2,67545,68135,DONE
O-098380,Vanesa Gunawan,kafe-teknik,nasi-campur,20000,1,77507,78747,DONE
O-098381,Tami Hidayat,kantin-pusat,air-mineral,4000,2,41947,43292,DONE
O-098382,"Cut Raina Nasyiah, S.H.",kantin-pusat,mie-goreng,13000,2,70665,71115,DONE
O-098383,"Jamalia Padmasari, M.Farm",kafe-teknik,bubur-ayam,11000,3,53354,54154,DONE
O-098384,Ella Pratiwi,kedai-kopi,kentang-goreng,14000,3,54811,55331,DONE
O-098385,Ade Manullang,kantin-asrama,pecel-lele,18000,3,40709,,ANTRE
O-098386,"drg. Tania Mandala, S.Kom",bakso-pak-yon,kopi-susu,18000,2,47411,48156,DONE
O-098387,Elvin Budiman,warung-bu-ida,iga-penyet,27000,3,53951,54981,DONE
O-098388,Prabawa Santoso,warung-bu-ida,gado-gado,15000,2,71525,71890,DONE
O-098389,"H. Galiono Hakim, S.Ked",kantin-pusat,sate-ayam,24000,3,40092,41127,DONE
O-098390,Puti Rahayu Lestari,kantin-pusat,ayam-bakar,22000,2,69825,70755,DONE
O-098391,"Dr. Endah Nurdiyanti, M.TI.",kedai-kopi,bakso,16000,2,57474,58689,DONE
O-098392,Daru Utami,kedai-kopi,es-campur,12000,3,32384,34664,DONE
O-098393,H. Bakiman Maryadi,kantin-asrama,ayam-geprek,19000,2,41714,42784,DONE
O-098394,Anggabaya Laksita,warung-bu-ida,kentang-goreng,14000,2,43863,44948,DONE
O-098395,Kasiyah Megantara,bakso-pak-yon,juice-alpukat,17000,3,62555,63085,DONE
O-098396,"Talia Kuswoyo, S.T.",kedai-kopi,ayam-bakar,22000,2,65960,67820,DONE
O-098397,Drs. Gaman Mardhiyah,kantin-pusat,burger-kampus,21000,2,44787,46457,DONE
O-098398,Drs. Wardaya Simanjuntak,kafe-teknik,soto-ayam,14000,3,46016,47986,DONE
O-098399,Pia Rajata,warung-bu-ida,es-teh,5000,3,75337,75997,DONE
O-098400,Tirtayasa Megantara,kedai-kopi,mie-goreng,13000,2,47121,,ANTRE
O-098401,Dr. Icha Suryatmi,kedai-kopi,iga-penyet,27000,3,74983,76658,DONE
O-098402,Maras Sihombing,warung-bu-ida,gorengan,6000,2,45010,46185,DONE
O-098403,Sakura Wacana,bakso-pak-yon,iga-penyet,27000,2,43375,44365,DONE
O-098404,Oliva Oktaviani,bakso-pak-yon,nasi-campur,20000,2,47457,48802,DONE
O-098405,Ajimat Puspasari,warung-bu-ida,es-teh,5000,2,42987,,CANCEL
O-098406,Teddy Sudiati,kantin-pusat,ayam-geprek,19000,2,69675,72010,DONE
O-098407,Oni Mandasari,kedai-kopi,kopi-susu,18000,2,47549,49404,DONE
O-098408,Reksa Ramadan,kafe-teknik,nasi-campur,20000,2,76918,77898,DONE
O-098409,Ivan Yolanda,kafe-teknik,mie-goreng,13000,2,47417,48712,DONE
O-098410,Jessica Hutapea,kantin-pusat,pecel-lele,18000,2,50679,,ANTRE
O-098411,Talia Maryadi,kantin-pusat,iga-penyet,27000,2,40721,42041,DONE
O-098412,Iriana Permata,kantin-asrama,ayam-geprek,19000,2,43088,44023,DONE
O-098413,Unjani Halimah,kafe-teknik,roti-bakar,12000,3,65439,66244,DONE
O-098414,dr. Erik Nuraini,kafe-teknik,bakso,16000,2,74123,74803,DONE
O-098415,"Harsana Yuliarti, M.Ak",kantin-asrama,ayam-bakar,22000,2,47276,47931,DONE
O-098416,Bakiono Hutasoit,kantin-asrama,es-teh,5000,3,63315,65180,DONE
O-098417,Eva Ardianto,kantin-pusat,juice-alpukat,17000,2,42406,,CANCEL
O-098418,Unjani Halimah,kedai-kopi,teh-tarik,9000,2,76063,77733,DONE
O-098419,"Safina Firgantoro, S.E.",kantin-asrama,kopi-susu,18000,2,40544,42944,DONE
O-098420,Rachel Kusumo,kafe-teknik,ayam-bakar,22000,3,28279,29384,DONE
O-098421,Tomi Hidayat,bakso-pak-yon,bubur-ayam,11000,3,40095,42005,DONE
O-098422,"Balangga Megantara, M.Farm",kantin-asrama,gorengan,6000,2,61423,62678,DONE
O-098423,Jelita Winarsih,kantin-pusat,burger-kampus,21000,2,70719,72159,DONE
O-098424,Nadia Handayani,warung-bu-ida,gorengan,6000,1,63992,65307,DONE
O-098425,Maman Dongoran,kantin-asrama,gorengan,6000,2,48535,,CANCEL
O-098426,Kuncara Maulana,kedai-kopi,juice-alpukat,17000,2,31368,,ANTRE
O-098427,"Bahuwirya Hariyah, M.M.",kantin-pusat,ayam-bakar,22000,2,62166,63996,DONE
O-098428,Siska Suryono,bakso-pak-yon,teh-tarik,9000,3,50679,51229,DONE
O-098429,Julia Gunawan,kedai-kopi,es-campur,12000,2,34869,35129,DONE
O-098430,Oliva Oktaviani,kantin-pusat,nasi-padang,25000,2,41221,43616,DONE
O-098431,"Pia Oktaviani, M.Ak",kedai-kopi,burger-kampus,21000,2,59933,61393,DONE
O-098432,Ophelia Nugroho,bakso-pak-yon,roti-bakar,12000,2,44509,45879,DONE
O-098433,Sarah Utama,kafe-teknik,mie-goreng,13000,2,26827,,ANTRE
O-098434,T. Gatra Prayoga,bakso-pak-yon,nasi-padang,25000,2,40417,40767,DONE
O-098435,"Samiah Rahayu, S.Gz",kafe-teknik,air-mineral,4000,2,58440,60015,DONE
O-098436,T. Ajiman Gunawan,warung-bu-ida,ayam-bakar,22000,2,41476,,CANCEL
O-098437,"Dr. Gawati Mangunsong, S.Ked",kedai-kopi,nasi-padang,25000,1,41973,43818,DONE
O-098438,drg. Ellis Nababan,kantin-asrama,gorengan,6000,1,46645,46980,DONE
O-098439,Cemeti Laksita,kafe-teknik,pecel-lele,18000,2,77078,78578,DONE
O-098440,Puti Novi Natsir,kantin-pusat,kentang-goreng,14000,3,63884,,CANCEL
O-098441,Taufan Hartati,kantin-asrama,soto-ayam,14000,1,46921,48966,DONE
O-098442,Dewi Salahudin,warung-bu-ida,gorengan,6000,3,73465,74605,DONE
O-098443,"Dr. Malika Kurniawan, S.Ked",warung-bu-ida,air-mineral,4000,2,40100,,CANCEL
O-098444,"drg. Kani Mayasari, M.Kom.",kafe-teknik,es-teh,5000,2,62507,64357,DONE
O-098445,Vicky Kusmawati,bakso-pak-yon,burger-kampus,21000,3,41175,,ANTRE
O-098446,"Cut Oni Megantara, S.Pt",warung-bu-ida,es-teh,5000,2,68526,70031,DONE
O-098447,KH. Muhammad Pratama,kafe-teknik,nasi-goreng,15000,2,65593,67158,DONE
O-098448,"Kamal Laksita, M.Farm",kantin-pusat,mie-ayam,13000,2,41237,,CANCEL
O-098449,Jarwadi Yuliarti,kafe-teknik,teh-tarik,9000,2,56061,57336,DONE
O-098450,Cemplunk Pradana,kafe-teknik,bakso,16000,3,41830,42825,DONE
O-098451,"R. Gamani Ramadan, S.Kom",warung-bu-ida,nasi-campur,20000,2,58482,60627,DONE
O-098452,Ajimin Budiyanto,warung-bu-ida,kopi-susu,18000,2,46477,48597,DONE
O-098453,"Lili Rajata, S.Sos",kantin-asrama,bakso,16000,1,51410,52810,DONE
O-098454,Margana Kurniawan,kedai-kopi,kopi-susu,18000,2,47894,,ANTRE
O-098455,Septi Yolanda,kedai-kopi,gado-gado,15000,2,53263,54523,DONE
O-098456,"Aisyah Zulaika, M.Ak",kedai-kopi,juice-alpukat,17000,3,26461,,ANTRE
O-098457,"T. Cakrajiya Agustina, M.Farm",warung-bu-ida,kentang-goreng,14000,2,76514,,ANTRE
O-098458,Syahrini Winarno,kantin-pusat,ayam-geprek,19000,2,47993,48643,DONE
O-098459,T. Karsa Hartati,kedai-kopi,burger-kampus,21000,3,44887,46257,DONE
O-098460,Endah Maheswara,bakso-pak-yon,ayam-geprek,19000,2,23656,24646,DONE
O-098461,Praba Hutapea,kantin-asrama,pecel-lele,18000,1,72951,74881,DONE
O-098462,Natalia Mulyani,kedai-kopi,es-teh,5000,2,25862,27182,DONE
O-098463,"R. Balapati Suryono, S.Gz",warung-bu-ida,iga-penyet,27000,2,38354,38824,DONE
O-098464,Sutan Cayadi Ramadan,bakso-pak-yon,ayam-bakar,22000,3,74303,,ANTRE
O-098465,Zamira Saptono,kantin-pusat,ayam-geprek,19000,2,54364,54819,DONE
O-098466,R.M. Balangga Dabukke,kafe-teknik,kentang-goreng,14000,1,42894,44314,DONE
O-098467,Mahmud Hutapea,warung-bu-ida,iga-penyet,27000,2,75353,,CANCEL
O-098468,"Elvina Mandala, S.Sos",kedai-kopi,iga-penyet,27000,2,47475,48340,DONE
O-098469,"dr. Eman Mustofa, M.Kom.",kafe-teknik,ayam-geprek,19000,2,30007,31687,DONE
O-098470,Gambira Simanjuntak,warung-bu-ida,nasi-campur,20000,2,73689,75819,DONE
O-098471,"Drs. Lega Usamah, S.I.Kom",warung-bu-ida,sate-ayam,24000,1,40809,41914,DONE
O-098472,Zalindra Najmudin,kantin-asrama,burger-kampus,21000,3,45233,47388,DONE
O-098473,Karimah Pangestu,kedai-kopi,kopi-susu,18000,3,47885,49330,DONE
O-098474,Dr. Belinda Waluyo,kafe-teknik,gado-gado,15000,3,56898,,ANTRE
O-098475,Mulya Waluyo,kafe-teknik,nasi-padang,25000,2,50384,,ANTRE
O-098476,Cinthia Sitompul,warung-bu-ida,mie-goreng,13000,3,68021,70116,DONE
O-098477,Dt. Martaka Mulyani,kantin-pusat,nasi-goreng,15000,2,70419,,ANTRE
O-098478,Zaenab Rahmawati,kedai-kopi,juice-alpukat,17000,2,41230,42270,DONE
O-098479,"R. Silvia Hartati, S.E.",kedai-kopi,es-teh,5000,1,46232,,CANCEL
O-098480,R. Olga Kusumo,kedai-kopi,kopi-susu,18000,2,68282,70057,DONE
O-098481,"Dalima Saputra, M.Farm",kantin-pusat,pecel-lele,18000,3,56913,,CANCEL
O-098482,Sabrina Sihombing,warung-bu-ida,air-mineral,4000,3,48804,50824,DONE
O-098483,Tedi Usamah,bakso-pak-yon,mie-ayam,13000,3,61783,,ANTRE
O-098484,Hamima Maulana,warung-bu-ida,juice-alpukat,17000,3,52318,53308,DONE
O-098485,Tgk. Dacin Najmudin,kantin-pusat,bubur-ayam,11000,2,43386,43891,DONE
O-098486,Aditya Hartati,kedai-kopi,ayam-bakar,22000,2,57805,58280,DONE
O-098487,Fathonah Wacana,warung-bu-ida,burger-kampus,21000,2,71370,71860,DONE
O-098488,"Siti Farida, S.E.",kedai-kopi,nasi-campur,20000,3,43447,,ANTRE
O-098489,R.A. Puji Lailasari,kafe-teknik,gado-gado,15000,2,43061,44161,DONE
O-098490,Cakrawala Simanjuntak,bakso-pak-yon,nasi-goreng,15000,2,29078,,CANCEL
O-098491,"Tgk. Pia Sirait, S.E.I",warung-bu-ida,bakso,16000,2,52284,54204,DONE
